id,名称,缩写,层级
110000,北京市,BJS,1
110100,市辖区,SXQ,2
110101,东城区,DCQ,3
110102,西城区,XCQ,3
110105,朝阳区,ZYQ,3
110106,丰台区,FTQ,3
110107,石景山区,SJSQ,3
110108,海淀区,HDQ,3
110109,门头沟区,MTGQ,3
110111,房山区,FSQ,3
110112,通州区,TZQ,3
110113,顺义区,SYQ,3
110114,昌平区,CPQ,3
110115,大兴区,DXQ,3
110116,怀柔区,HRQ,3
110117,平谷区,PGQ,3
110200,县,X,2
110228,密云县,MYX,3
110229,延庆县,YQX,3
120000,天津市,TJS,1
120100,市辖区,SXQ,2
120101,和平区,HPQ,3
120102,河东区,HDQ,3
120103,河西区,HXQ,3
120104,南开区,NKQ,3
120105,河北区,HBQ,3
120106,红桥区,HQQ,3
120110,东丽区,DLQ,3
120111,西青区,XQQ,3
120112,津南区,JNQ,3
120113,北辰区,BCQ,3
120114,武清区,WQQ,3
120115,宝坻区,BCQ,3
120116,滨海新区,BHXQ,3
120117,宁河区,NHQ,3
120118,静海区,JHQ,3
120200,县,X,2
120225,蓟县,JX,3
130000,河北省,HBS,1
130100,石家庄市,SJZS,2
130101,市辖区,SXQ,3
130102,长安区,CAQ,3
130104,桥西区,QXQ,3
130105,新华区,XHQ,3
130107,井陉矿区,JXKQ,3
130108,裕华区,YHQ,3
130109,藁城区,GCQ,3
130110,鹿泉区,LQQ,3
130111,栾城区,LCQ,3
130121,井陉县,JXX,3
130123,正定县,ZDX,3
130125,行唐县,XTX,3
130126,灵寿县,LSX,3
130127,高邑县,GYX,3
130128,深泽县,SZX,3
130129,赞皇县,ZHX,3
130130,无极县,WJX,3
130131,平山县,PSX,3
130132,元氏县,YSX,3
130133,赵县,ZX,3
130183,晋州市,JZS,3
130184,新乐市,XLS,3
130200,唐山市,TSS,2
130201,市辖区,SXQ,3
130202,路南区,LNQ,3
130203,路北区,LBQ,3
130204,古冶区,GYQ,3
130205,开平区,KPQ,3
130207,丰南区,FNQ,3
130208,丰润区,FRQ,3
130209,曹妃甸区,CFDQ,3
130223,滦县,LX,3
130224,滦南县,LNX,3
130225,乐亭县,LTX,3
130227,迁西县,QXX,3
130229,玉田县,YTX,3
130281,遵化市,ZHS,3
130283,迁安市,QAS,3
130300,秦皇岛市,QHDS,2
130301,市辖区,SXQ,3
130302,海港区,HGQ,3
130303,山海关区,SHGQ,3
130304,北戴河区,BDHQ,3
130306,抚宁区,FNQ,3
130321,青龙满族自治县,QLMZZZX,3
130322,昌黎县,CLX,3
130324,卢龙县,LLX,3
130400,邯郸市,HDS,2
130401,市辖区,SXQ,3
130402,邯山区,HSQ,3
130403,丛台区,CTQ,3
130404,复兴区,FXQ,3
130406,峰峰矿区,FFKQ,3
130421,邯郸县,HDX,3
130423,临漳县,LZX,3
130424,成安县,CAX,3
130425,大名县,DMX,3
130426,涉县,SX,3
130427,磁县,CX,3
130428,肥乡县,FXX,3
130429,永年县,YNX,3
130430,邱县,QX,3
130431,鸡泽县,JZX,3
130432,广平县,GPX,3
130433,馆陶县,GTX,3
130434,魏县,WX,3
130435,曲周县,QZX,3
130481,武安市,WAS,3
130500,邢台市,XTS,2
130501,市辖区,SXQ,3
130502,桥东区,QDQ,3
130503,桥西区,QXQ,3
130521,邢台县,XTX,3
130522,临城县,LCX,3
130523,内丘县,NQX,3
130524,柏乡县,BXX,3
130525,隆尧县,LYX,3
130526,任县,RX,3
130527,南和县,NHX,3
130528,宁晋县,NJX,3
130529,巨鹿县,JLX,3
130530,新河县,XHX,3
130531,广宗县,GZX,3
130532,平乡县,PXX,3
130533,威县,WX,3
130534,清河县,QHX,3
130535,临西县,LXX,3
130581,南宫市,NGS,3
130582,沙河市,SHS,3
130600,保定市,BDS,2
130601,市辖区,SXQ,3
130602,竞秀区,JXQ,3
130606,莲池区,LCQ,3
130607,满城区,MCQ,3
130608,清苑区,QYQ,3
130609,徐水区,XSQ,3
130623,涞水县,LSX,3
130624,阜平县,FPX,3
130626,定兴县,DXX,3
130627,唐县,TX,3
130628,高阳县,GYX,3
130629,容城县,RCX,3
130630,涞源县,LYX,3
130631,望都县,WDX,3
130632,安新县,AXX,3
130633,易县,YX,3
130634,曲阳县,QYX,3
130635,蠡县,LX,3
130636,顺平县,SPX,3
130637,博野县,BYX,3
130638,雄县,XX,3
130681,涿州市,ZZS,3
130683,安国市,AGS,3
130684,高碑店市,GBDS,3
130700,张家口市,ZJKS,2
130701,市辖区,SXQ,3
130702,桥东区,QDQ,3
130703,桥西区,QXQ,3
130705,宣化区,XHQ,3
130706,下花园区,XHYQ,3
130721,宣化县,XHX,3
130722,张北县,ZBX,3
130723,康保县,KBX,3
130724,沽源县,GYX,3
130725,尚义县,SYX,3
130726,蔚县,WX,3
130727,阳原县,YYX,3
130728,怀安县,HAX,3
130729,万全县,WQX,3
130730,怀来县,HLX,3
130731,涿鹿县,ZLX,3
130732,赤城县,CCX,3
130733,崇礼县,CLX,3
130800,承德市,CDS,2
130801,市辖区,SXQ,3
130802,双桥区,SQQ,3
130803,双滦区,SLQ,3
130804,鹰手营子矿区,YSYZKQ,3
130821,承德县,CDX,3
130822,兴隆县,XLX,3
130823,平泉县,PQX,3
130824,滦平县,LPX,3
130825,隆化县,LHX,3
130826,丰宁满族自治县,FNMZZZX,3
130827,宽城满族自治县,KCMZZZX,3
130828,围场满族蒙古族自治县,WCMZMGZZZX,3
130900,沧州市,CZS,2
130901,市辖区,SXQ,3
130902,新华区,XHQ,3
130903,运河区,YHQ,3
130921,沧县,CX,3
130922,青县,QX,3
130923,东光县,DGX,3
130924,海兴县,HXX,3
130925,盐山县,YSX,3
130926,肃宁县,SNX,3
130927,南皮县,NPX,3
130928,吴桥县,WQX,3
130929,献县,XX,3
130930,孟村回族自治县,MCHZZZX,3
130981,泊头市,BTS,3
130982,任丘市,RQS,3
130983,黄骅市,HHS,3
130984,河间市,HJS,3
131000,廊坊市,LFS,2
131001,市辖区,SXQ,3
131002,安次区,ACQ,3
131003,广阳区,GYQ,3
131022,固安县,GAX,3
131023,永清县,YQX,3
131024,香河县,XHX,3
131025,大城县,DCX,3
131026,文安县,WAX,3
131028,大厂回族自治县,DCHZZZX,3
131081,霸州市,BZS,3
131082,三河市,SHS,3
131100,衡水市,HSS,2
131101,市辖区,SXQ,3
131102,桃城区,TCQ,3
131121,枣强县,ZQX,3
131122,武邑县,WYX,3
131123,武强县,WQX,3
131124,饶阳县,RYX,3
131125,安平县,APX,3
131126,故城县,GCX,3
131127,景县,JX,3
131128,阜城县,FCX,3
131181,冀州市,JZS,3
131182,深州市,SZS,3
139000,省直辖县级行政区划,SZXXJXZQH,2
139001,定州市,DZS,3
139002,辛集市,XJS,3
140000,山西省,SXS,1
140100,太原市,TYS,2
140101,市辖区,SXQ,3
140105,小店区,XDQ,3
140106,迎泽区,YZQ,3
140107,杏花岭区,XHLQ,3
140108,尖草坪区,JCPQ,3
140109,万柏林区,WBLQ,3
140110,晋源区,JYQ,3
140121,清徐县,QXX,3
140122,阳曲县,YQX,3
140123,娄烦县,LFX,3
140181,古交市,GJS,3
140200,大同市,DTS,2
140201,市辖区,SXQ,3
140202,城区,CQ,3
140203,矿区,KQ,3
140211,南郊区,NJQ,3
140212,新荣区,XRQ,3
140221,阳高县,YGX,3
140222,天镇县,TZX,3
140223,广灵县,GLX,3
140224,灵丘县,LQX,3
140225,浑源县,HYX,3
140226,左云县,ZYX,3
140227,大同县,DTX,3
140300,阳泉市,YQS,2
140301,市辖区,SXQ,3
140302,城区,CQ,3
140303,矿区,KQ,3
140311,郊区,JQ,3
140321,平定县,PDX,3
140322,盂县,YX,3
140400,长治市,CZS,2
140401,市辖区,SXQ,3
140402,城区,CQ,3
140411,郊区,JQ,3
140421,长治县,CZX,3
140423,襄垣县,XYX,3
140424,屯留县,TLX,3
140425,平顺县,PSX,3
140426,黎城县,LCX,3
140427,壶关县,HGX,3
140428,长子县,CZX,3
140429,武乡县,WXX,3
140430,沁县,QX,3
140431,沁源县,QYX,3
140481,潞城市,LCS,3
140500,晋城市,JCS,2
140501,市辖区,SXQ,3
140502,城区,CQ,3
140521,沁水县,QSX,3
140522,阳城县,YCX,3
140524,陵川县,LCX,3
140525,泽州县,ZZX,3
140581,高平市,GPS,3
140600,朔州市,SZS,2
140601,市辖区,SXQ,3
140602,朔城区,SCQ,3
140603,平鲁区,PLQ,3
140621,山阴县,SYX,3
140622,应县,YX,3
140623,右玉县,YYX,3
140624,怀仁县,HRX,3
140700,晋中市,JZS,2
140701,市辖区,SXQ,3
140702,榆次区,YCQ,3
140721,榆社县,YSX,3
140722,左权县,ZQX,3
140723,和顺县,HSX,3
140724,昔阳县,XYX,3
140725,寿阳县,SYX,3
140726,太谷县,TGX,3
140727,祁县,QX,3
140728,平遥县,PYX,3
140729,灵石县,LSX,3
140781,介休市,JXS,3
140800,运城市,YCS,2
140801,市辖区,SXQ,3
140802,盐湖区,YHQ,3
140821,临猗县,LYX,3
140822,万荣县,WRX,3
140823,闻喜县,WXX,3
140824,稷山县,JSX,3
140825,新绛县,XJX,3
140826,绛县,JX,3
140827,垣曲县,YQX,3
140828,夏县,XX,3
140829,平陆县,PLX,3
140830,芮城县,RCX,3
140881,永济市,YJS,3
140882,河津市,HJS,3
140900,忻州市,XZS,2
140901,市辖区,SXQ,3
140902,忻府区,XFQ,3
140921,定襄县,DXX,3
140922,五台县,WTX,3
140923,代县,DX,3
140924,繁峙县,FZX,3
140925,宁武县,NWX,3
140926,静乐县,JLX,3
140927,神池县,SCX,3
140928,五寨县,WZX,3
140929,岢岚县,KLX,3
140930,河曲县,HQX,3
140931,保德县,BDX,3
140932,偏关县,PGX,3
140981,原平市,YPS,3
141000,临汾市,LFS,2
141001,市辖区,SXQ,3
141002,尧都区,YDQ,3
141021,曲沃县,QWX,3
141022,翼城县,YCX,3
141023,襄汾县,XFX,3
141024,洪洞县,HDX,3
141025,古县,GX,3
141026,安泽县,AZX,3
141027,浮山县,FSX,3
141028,吉县,JX,3
141029,乡宁县,XNX,3
141030,大宁县,DNX,3
141031,隰县,XX,3
141032,永和县,YHX,3
141033,蒲县,PX,3
141034,汾西县,FXX,3
141081,侯马市,HMS,3
141082,霍州市,HZS,3
141100,吕梁市,LLS,2
141101,市辖区,SXQ,3
141102,离石区,LSQ,3
141121,文水县,WSX,3
141122,交城县,JCX,3
141123,兴县,XX,3
141124,临县,LX,3
141125,柳林县,LLX,3
141126,石楼县,SLX,3
141127,岚县,LX,3
141128,方山县,FSX,3
141129,中阳县,ZYX,3
141130,交口县,JKX,3
141181,孝义市,XYS,3
141182,汾阳市,FYS,3
150000,内蒙古自治区,NMGZZQ,1
150100,呼和浩特市,HHHTS,2
150101,市辖区,SXQ,3
150102,新城区,XCQ,3
150103,回民区,HMQ,3
150104,玉泉区,YQQ,3
150105,赛罕区,SHQ,3
150121,土默特左旗,TMTZQ,3
150122,托克托县,TKTX,3
150123,和林格尔县,HLGEX,3
150124,清水河县,QSHX,3
150125,武川县,WCX,3
150200,包头市,BTS,2
150201,市辖区,SXQ,3
150202,东河区,DHQ,3
150203,昆都仑区,KDLQ,3
150204,青山区,QSQ,3
150205,石拐区,SGQ,3
150206,白云鄂博矿区,BYEBKQ,3
150207,九原区,JYQ,3
150221,土默特右旗,TMTYQ,3
150222,固阳县,GYX,3
150223,达尔罕茂明安联合旗,DEHMMALHQ,3
150300,乌海市,WHS,2
150301,市辖区,SXQ,3
150302,海勃湾区,HBWQ,3
150303,海南区,HNQ,3
150304,乌达区,WDQ,3
150400,赤峰市,CFS,2
150401,市辖区,SXQ,3
150402,红山区,HSQ,3
150403,元宝山区,YBSQ,3
150404,松山区,SSQ,3
150421,阿鲁科尔沁旗,ALKEQQ,3
150422,巴林左旗,BLZQ,3
150423,巴林右旗,BLYQ,3
150424,林西县,LXX,3
150425,克什克腾旗,KSKTQ,3
150426,翁牛特旗,WNTQ,3
150428,喀喇沁旗,KLQQ,3
150429,宁城县,NCX,3
150430,敖汉旗,AHQ,3
150500,通辽市,TLS,2
150501,市辖区,SXQ,3
150502,科尔沁区,KEQQ,3
150521,科尔沁左翼中旗,KEQZYZQ,3
150522,科尔沁左翼后旗,KEQZYHQ,3
150523,开鲁县,KLX,3
150524,库伦旗,KLQ,3
150525,奈曼旗,NMQ,3
150526,扎鲁特旗,ZLTQ,3
150581,霍林郭勒市,HLGLS,3
150600,鄂尔多斯市,EEDSS,2
150601,市辖区,SXQ,3
150602,东胜区,DSQ,3
150621,达拉特旗,DLTQ,3
150622,准格尔旗,ZGEQ,3
150623,鄂托克前旗,ETKQQ,3
150624,鄂托克旗,ETKQ,3
150625,杭锦旗,HJQ,3
150626,乌审旗,WSQ,3
150627,伊金霍洛旗,YJHLQ,3
150700,呼伦贝尔市,HLBES,2
150701,市辖区,SXQ,3
150702,海拉尔区,HLEQ,3
150703,扎赉诺尔区,ZLNEQ,3
150721,阿荣旗,ARQ,3
150722,莫力达瓦达斡尔族自治旗,MLDWDWEZZZQ,3
150723,鄂伦春自治旗,ELCZZQ,3
150724,鄂温克族自治旗,EWKZZZQ,3
150725,陈巴尔虎旗,CBEHQ,3
150726,新巴尔虎左旗,XBEHZQ,3
150727,新巴尔虎右旗,XBEHYQ,3
150781,满洲里市,MZLS,3
150782,牙克石市,YKSS,3
150783,扎兰屯市,ZLTS,3
150784,额尔古纳市,EEGNS,3
150785,根河市,GHS,3
150800,巴彦淖尔市,BYNES,2
150801,市辖区,SXQ,3
150802,临河区,LHQ,3
150821,五原县,WYX,3
150822,磴口县,DKX,3
150823,乌拉特前旗,WLTQQ,3
150824,乌拉特中旗,WLTZQ,3
150825,乌拉特后旗,WLTHQ,3
150826,杭锦后旗,HJHQ,3
150900,乌兰察布市,WLCBS,2
150901,市辖区,SXQ,3
150902,集宁区,JNQ,3
150921,卓资县,ZZX,3
150922,化德县,HDX,3
150923,商都县,SDX,3
150924,兴和县,XHX,3
150925,凉城县,LCX,3
150926,察哈尔右翼前旗,CHEYYQQ,3
150927,察哈尔右翼中旗,CHEYYZQ,3
150928,察哈尔右翼后旗,CHEYYHQ,3
150929,四子王旗,SZWQ,3
150981,丰镇市,FZS,3
152200,兴安盟,XAM,2
152201,乌兰浩特市,WLHTS,3
152202,阿尔山市,AESS,3
152221,科尔沁右翼前旗,KEQYYQQ,3
152222,科尔沁右翼中旗,KEQYYZQ,3
152223,扎赉特旗,ZLTQ,3
152224,突泉县,TQX,3
152500,锡林郭勒盟,XLGLM,2
152501,二连浩特市,ELHTS,3
152502,锡林浩特市,XLHTS,3
152522,阿巴嘎旗,ABGQ,3
152523,苏尼特左旗,SNTZQ,3
152524,苏尼特右旗,SNTYQ,3
152525,东乌珠穆沁旗,DWZMQQ,3
152526,西乌珠穆沁旗,XWZMQQ,3
152527,太仆寺旗,TPSQ,3
152528,镶黄旗,XHQ,3
152529,正镶白旗,ZXBQ,3
152530,正蓝旗,ZLQ,3
152531,多伦县,DLX,3
152900,阿拉善盟,ALSM,2
152921,阿拉善左旗,ALSZQ,3
152922,阿拉善右旗,ALSYQ,3
152923,额济纳旗,EJNQ,3
210000,辽宁省,LNS,1
210100,沈阳市,SYS,2
210101,市辖区,SXQ,3
210102,和平区,HPQ,3
210103,沈河区,SHQ,3
210104,大东区,DDQ,3
210105,皇姑区,HGQ,3
210106,铁西区,TXQ,3
210111,苏家屯区,SJTQ,3
210112,浑南区,HNQ,3
210113,沈北新区,SBXQ,3
210114,于洪区,YHQ,3
210122,辽中县,LZX,3
210123,康平县,KPX,3
210124,法库县,FKX,3
210181,新民市,XMS,3
210200,大连市,DLS,2
210201,市辖区,SXQ,3
210202,中山区,ZSQ,3
210203,西岗区,XGQ,3
210204,沙河口区,SHKQ,3
210211,甘井子区,GJZQ,3
210212,旅顺口区,LSKQ,3
210213,金州区,JZQ,3
210224,长海县,CHX,3
210281,瓦房店市,WFDS,3
210282,普兰店市,PLDS,3
210283,庄河市,ZHS,3
210300,鞍山市,ASS,2
210301,市辖区,SXQ,3
210302,铁东区,TDQ,3
210303,铁西区,TXQ,3
210304,立山区,LSQ,3
210311,千山区,QSQ,3
210321,台安县,TAX,3
210323,岫岩满族自治县,XYMZZZX,3
210381,海城市,HCS,3
210400,抚顺市,FSS,2
210401,市辖区,SXQ,3
210402,新抚区,XFQ,3
210403,东洲区,DZQ,3
210404,望花区,WHQ,3
210411,顺城区,SCQ,3
210421,抚顺县,FSX,3
210422,新宾满族自治县,XBMZZZX,3
210423,清原满族自治县,QYMZZZX,3
210500,本溪市,BXS,2
210501,市辖区,SXQ,3
210502,平山区,PSQ,3
210503,溪湖区,XHQ,3
210504,明山区,MSQ,3
210505,南芬区,NFQ,3
210521,本溪满族自治县,BXMZZZX,3
210522,桓仁满族自治县,HRMZZZX,3
210600,丹东市,DDS,2
210601,市辖区,SXQ,3
210602,元宝区,YBQ,3
210603,振兴区,ZXQ,3
210604,振安区,ZAQ,3
210624,宽甸满族自治县,KDMZZZX,3
210681,东港市,DGS,3
210682,凤城市,FCS,3
210700,锦州市,JZS,2
210701,市辖区,SXQ,3
210702,古塔区,GTQ,3
210703,凌河区,LHQ,3
210711,太和区,THQ,3
210726,黑山县,HSX,3
210727,义县,YX,3
210781,凌海市,LHS,3
210782,北镇市,BZS,3
210800,营口市,YKS,2
210801,市辖区,SXQ,3
210802,站前区,ZQQ,3
210803,西市区,XSQ,3
210804,鲅鱼圈区,BYQQ,3
210811,老边区,LBQ,3
210881,盖州市,GZS,3
210882,大石桥市,DSQS,3
210900,阜新市,FXS,2
210901,市辖区,SXQ,3
210902,海州区,HZQ,3
210903,新邱区,XQQ,3
210904,太平区,TPQ,3
210905,清河门区,QHMQ,3
210911,细河区,XHQ,3
210921,阜新蒙古族自治县,FXMGZZZX,3
210922,彰武县,ZWX,3
211000,辽阳市,LYS,2
211001,市辖区,SXQ,3
211002,白塔区,BTQ,3
211003,文圣区,WSQ,3
211004,宏伟区,HWQ,3
211005,弓长岭区,GCLQ,3
211011,太子河区,TZHQ,3
211021,辽阳县,LYX,3
211081,灯塔市,DTS,3
211100,盘锦市,PJS,2
211101,市辖区,SXQ,3
211102,双台子区,STZQ,3
211103,兴隆台区,XLTQ,3
211121,大洼县,DWX,3
211122,盘山县,PSX,3
211200,铁岭市,TLS,2
211201,市辖区,SXQ,3
211202,银州区,YZQ,3
211204,清河区,QHQ,3
211221,铁岭县,TLX,3
211223,西丰县,XFX,3
211224,昌图县,CTX,3
211281,调兵山市,DBSS,3
211282,开原市,KYS,3
211300,朝阳市,ZYS,2
211301,市辖区,SXQ,3
211302,双塔区,STQ,3
211303,龙城区,LCQ,3
211321,朝阳县,ZYX,3
211322,建平县,JPX,3
211324,喀喇沁左翼蒙古族自治县,KLQZYMGZZZX,3
211381,北票市,BPS,3
211382,凌源市,LYS,3
211400,葫芦岛市,HLDS,2
211401,市辖区,SXQ,3
211402,连山区,LSQ,3
211403,龙港区,LGQ,3
211404,南票区,NPQ,3
211421,绥中县,SZX,3
211422,建昌县,JCX,3
211481,兴城市,XCS,3
220000,吉林省,JLS,1
220100,长春市,CCS,2
220101,市辖区,SXQ,3
220102,南关区,NGQ,3
220103,宽城区,KCQ,3
220104,朝阳区,ZYQ,3
220105,二道区,EDQ,3
220106,绿园区,LYQ,3
220112,双阳区,SYQ,3
220113,九台区,JTQ,3
220122,农安县,NAX,3
220182,榆树市,YSS,3
220183,德惠市,DHS,3
220200,吉林市,JLS,2
220201,市辖区,SXQ,3
220202,昌邑区,CYQ,3
220203,龙潭区,LTQ,3
220204,船营区,CYQ,3
220211,丰满区,FMQ,3
220221,永吉县,YJX,3
220281,蛟河市,JHS,3
220282,桦甸市,HDS,3
220283,舒兰市,SLS,3
220284,磐石市,PSS,3
220300,四平市,SPS,2
220301,市辖区,SXQ,3
220302,铁西区,TXQ,3
220303,铁东区,TDQ,3
220322,梨树县,LSX,3
220323,伊通满族自治县,YTMZZZX,3
220381,公主岭市,GZLS,3
220382,双辽市,SLS,3
220400,辽源市,LYS,2
220401,市辖区,SXQ,3
220402,龙山区,LSQ,3
220403,西安区,XAQ,3
220421,东丰县,DFX,3
220422,东辽县,DLX,3
220500,通化市,THS,2
220501,市辖区,SXQ,3
220502,东昌区,DCQ,3
220503,二道江区,EDJQ,3
220521,通化县,THX,3
220523,辉南县,HNX,3
220524,柳河县,LHX,3
220581,梅河口市,MHKS,3
220582,集安市,JAS,3
220600,白山市,BSS,2
220601,市辖区,SXQ,3
220602,浑江区,HJQ,3
220605,江源区,JYQ,3
220621,抚松县,FSX,3
220622,靖宇县,JYX,3
220623,长白朝鲜族自治县,CBZXZZZX,3
220681,临江市,LJS,3
220700,松原市,SYS,2
220701,市辖区,SXQ,3
220702,宁江区,NJQ,3
220721,前郭尔罗斯蒙古族自治县,QGELSMGZZZX,3
220722,长岭县,CLX,3
220723,乾安县,GAX,3
220781,扶余市,FYS,3
220800,白城市,BCS,2
220801,市辖区,SXQ,3
220802,洮北区,TBQ,3
220821,镇赉县,ZLX,3
220822,通榆县,TYX,3
220881,洮南市,TNS,3
220882,大安市,DAS,3
222400,延边朝鲜族自治州,YBZXZZZZ,2
222401,延吉市,YJS,3
222402,图们市,TMS,3
222403,敦化市,DHS,3
222404,珲春市,HCS,3
222405,龙井市,LJS,3
222406,和龙市,HLS,3
222424,汪清县,WQX,3
222426,安图县,ATX,3
230000,黑龙江省,HLJS,1
230100,哈尔滨市,HEBS,2
230101,市辖区,SXQ,3
230102,道里区,DLQ,3
230103,南岗区,NGQ,3
230104,道外区,DWQ,3
230108,平房区,PFQ,3
230109,松北区,SBQ,3
230110,香坊区,XFQ,3
230111,呼兰区,HLQ,3
230112,阿城区,ACQ,3
230113,双城区,SCQ,3
230123,依兰县,YLX,3
230124,方正县,FZX,3
230125,宾县,BX,3
230126,巴彦县,BYX,3
230127,木兰县,MLX,3
230128,通河县,THX,3
230129,延寿县,YSX,3
230183,尚志市,SZS,3
230184,五常市,WCS,3
230200,齐齐哈尔市,QQHES,2
230201,市辖区,SXQ,3
230202,龙沙区,LSQ,3
230203,建华区,JHQ,3
230204,铁锋区,TFQ,3
230205,昂昂溪区,AAXQ,3
230206,富拉尔基区,FLEJQ,3
230207,碾子山区,NZSQ,3
230208,梅里斯达斡尔族区,MLSDWEZQ,3
230221,龙江县,LJX,3
230223,依安县,YAX,3
230224,泰来县,TLX,3
230225,甘南县,GNX,3
230227,富裕县,FYX,3
230229,克山县,KSX,3
230230,克东县,KDX,3
230231,拜泉县,BQX,3
230281,讷河市,NHS,3
230300,鸡西市,JXS,2
230301,市辖区,SXQ,3
230302,鸡冠区,JGQ,3
230303,恒山区,HSQ,3
230304,滴道区,DDQ,3
230305,梨树区,LSQ,3
230306,城子河区,CZHQ,3
230307,麻山区,MSQ,3
230321,鸡东县,JDX,3
230381,虎林市,HLS,3
230382,密山市,MSS,3
230400,鹤岗市,HGS,2
230401,市辖区,SXQ,3
230402,向阳区,XYQ,3
230403,工农区,GNQ,3
230404,南山区,NSQ,3
230405,兴安区,XAQ,3
230406,东山区,DSQ,3
230407,兴山区,XSQ,3
230421,萝北县,LBX,3
230422,绥滨县,SBX,3
230500,双鸭山市,SYSS,2
230501,市辖区,SXQ,3
230502,尖山区,JSQ,3
230503,岭东区,LDQ,3
230505,四方台区,SFTQ,3
230506,宝山区,BSQ,3
230521,集贤县,JXX,3
230522,友谊县,YYX,3
230523,宝清县,BQX,3
230524,饶河县,RHX,3
230600,大庆市,DQS,2
230601,市辖区,SXQ,3
230602,萨尔图区,SETQ,3
230603,龙凤区,LFQ,3
230604,让胡路区,RHLQ,3
230605,红岗区,HGQ,3
230606,大同区,DTQ,3
230621,肇州县,ZZX,3
230622,肇源县,ZYX,3
230623,林甸县,LDX,3
230624,杜尔伯特蒙古族自治县,DEBTMGZZZX,3
230700,伊春市,YCS,2
230701,市辖区,SXQ,3
230702,伊春区,YCQ,3
230703,南岔区,NCQ,3
230704,友好区,YHQ,3
230705,西林区,XLQ,3
230706,翠峦区,CLQ,3
230707,新青区,XQQ,3
230708,美溪区,MXQ,3
230709,金山屯区,JSTQ,3
230710,五营区,WYQ,3
230711,乌马河区,WMHQ,3
230712,汤旺河区,TWHQ,3
230713,带岭区,DLQ,3
230714,乌伊岭区,WYLQ,3
230715,红星区,HXQ,3
230716,上甘岭区,SGLQ,3
230722,嘉荫县,JYX,3
230781,铁力市,TLS,3
230800,佳木斯市,JMSS,2
230801,市辖区,SXQ,3
230803,向阳区,XYQ,3
230804,前进区,QJQ,3
230805,东风区,DFQ,3
230811,郊区,JQ,3
230822,桦南县,HNX,3
230826,桦川县,HCX,3
230828,汤原县,TYX,3
230833,抚远县,FYX,3
230881,同江市,TJS,3
230882,富锦市,FJS,3
230900,七台河市,QTHS,2
230901,市辖区,SXQ,3
230902,新兴区,XXQ,3
230903,桃山区,TSQ,3
230904,茄子河区,QZHQ,3
230921,勃利县,BLX,3
231000,牡丹江市,MDJS,2
231001,市辖区,SXQ,3
231002,东安区,DAQ,3
231003,阳明区,YMQ,3
231004,爱民区,AMQ,3
231005,西安区,XAQ,3
231024,东宁县,DNX,3
231025,林口县,LKX,3
231081,绥芬河市,SFHS,3
231083,海林市,HLS,3
231084,宁安市,NAS,3
231085,穆棱市,MLS,3
231100,黑河市,HHS,2
231101,市辖区,SXQ,3
231102,爱辉区,AHQ,3
231121,嫩江县,NJX,3
231123,逊克县,XKX,3
231124,孙吴县,SWX,3
231181,北安市,BAS,3
231182,五大连池市,WDLCS,3
231200,绥化市,SHS,2
231201,市辖区,SXQ,3
231202,北林区,BLQ,3
231221,望奎县,WKX,3
231222,兰西县,LXX,3
231223,青冈县,QGX,3
231224,庆安县,QAX,3
231225,明水县,MSX,3
231226,绥棱县,SLX,3
231281,安达市,ADS,3
231282,肇东市,ZDS,3
231283,海伦市,HLS,3
232700,大兴安岭地区,DXALDQ,2
232721,呼玛县,HMX,3
232722,塔河县,THX,3
232723,漠河县,MHX,3
310000,上海市,SHS,1
310100,市辖区,SXQ,2
310101,黄浦区,HPQ,3
310104,徐汇区,XHQ,3
310105,长宁区,CNQ,3
310106,静安区,JAQ,3
310107,普陀区,PTQ,3
310108,闸北区,ZBQ,3
310109,虹口区,HKQ,3
310110,杨浦区,YPQ,3
310112,闵行区,MXQ,3
310113,宝山区,BSQ,3
310114,嘉定区,JDQ,3
310115,浦东新区,PDXQ,3
310116,金山区,JSQ,3
310117,松江区,SJQ,3
310118,青浦区,QPQ,3
310120,奉贤区,FXQ,3
310200,县,X,2
